Date	logreturn
19-Nov-84	0.0816
26-Nov-84	-1.1893
3-Dec-84	-1.2871
10-Dec-84	-0.1254
17-Dec-84	2.3978
24-Dec-84	0.4483
31-Dec-84	0.0813
7-Jan-85	2.4484
14-Jan-85	4.2312
21-Jan-85	4.0594
28-Jan-85	1.5931
4-Feb-85	3.5289
11-Feb-85	-0.2430
19-Feb-85	-0.5227
25-Feb-85	0.3488
4-Mar-85	-1.6854
11-Mar-85	-1.5703
18-Mar-85	0.3232
25-Mar-85	0.1075
1-Apr-85	-0.6468
8-Apr-85	1.1470
15-Apr-85	0.7810
22-Apr-85	0.4586
29-Apr-85	-1.3466
6-May-85	2.5362
13-May-85	1.4503
20-May-85	0.1370
28-May-85	-0.4460
3-Jun-85	0.0688
10-Jun-85	-1.0363
17-Jun-85	0.2428
24-Jun-85	2.5647
1-Jul-85	0.8070
8-Jul-85	1.2646
15-Jul-85	1.7700
22-Jul-85	-1.0451
29-Jul-85	-0.0328
5-Aug-85	-1.7893
12-Aug-85	-0.8731
19-Aug-85	0.0674
26-Aug-85	0.3365
3-Sep-85	-0.5051
9-Sep-85	-3.0856
16-Sep-85	-0.9797
23-Sep-85	-1.4878
30-Sep-85	0.1070
7-Oct-85	0.4624
14-Oct-85	2.3151
21-Oct-85	0.3807
28-Oct-85	1.5765
4-Nov-85	1.9863
11-Nov-85	2.0456
18-Nov-85	1.4911
25-Nov-85	1.0243
2-Dec-85	0.8246
9-Dec-85	2.3104
16-Dec-85	-0.2782
23-Dec-85	-0.0929
30-Dec-85	0.8944
6-Jan-86	-0.3999
13-Jan-86	1.9234
20-Jan-86	-0.5458
27-Jan-86	2.0762
3-Feb-86	1.8880
10-Feb-86	2.3109
18-Feb-86	1.5443
24-Feb-86	1.0767
3-Mar-86	0.7482
10-Mar-86	2.6160
17-Mar-86	0.2149
24-Mar-86	0.1877
31-Mar-86	-0.2951
7-Apr-86	1.7841
14-Apr-86	2.9131
21-Apr-86	0.5624
28-Apr-86	-2.3470
5-May-86	1.5279
12-May-86	-1.1373
19-May-86	1.8543
27-May-86	2.0958
2-Jun-86	0.0250
9-Jun-86	-0.1750
16-Jun-86	-0.6780
23-Jun-86	1.6740
30-Jun-86	1.8655
7-Jul-86	-4.8839
14-Jul-86	-2.7179
21-Jul-86	-0.3417
28-Jul-86	-2.4252
4-Aug-86	-1.3306
11-Aug-86	3.8611
18-Aug-86	0.3413
25-Aug-86	0.3663
2-Sep-86	-1.1822
8-Sep-86	-8.7204
15-Sep-86	0.7469
22-Sep-86	0.6277
29-Sep-86	0.3407
6-Oct-86	0.1982
13-Oct-86	0.6204
20-Oct-86	0.2807
27-Oct-86	1.1429
3-Nov-86	0.0554
10-Nov-86	-0.6949
17-Nov-86	-1.0656
24-Nov-86	1.3720
1-Dec-86	0.9411
8-Dec-86	-1.9753
15-Dec-86	-1.0451
22-Dec-86	-0.6552
29-Dec-86	0.9387
5-Jan-87	7.4977
12-Jan-87	2.3879
19-Jan-87	0.5882
26-Jan-87	-0.0255
2-Feb-87	3.7051
9-Feb-87	1.3669
17-Feb-87	1.1330
23-Feb-87	1.8523
2-Mar-87	1.0533
9-Mar-87	0.5804
16-Mar-87	1.7440
23-Mar-87	-0.6848
30-Mar-87	0.1831
6-Apr-87	-1.4972
13-Apr-87	-2.6813
20-Apr-87	-1.6585
27-Apr-87	1.3959
4-May-87	1.1407
11-May-87	-1.0213
18-May-87	-2.7837
26-May-87	2.2091
1-Jun-87	0.3116
8-Jun-87	1.8027
15-Jun-87	0.8660
22-Jun-87	-0.5609
29-Jun-87	-0.1877
6-Jul-87	0.0235
13-Jul-87	1.8836
20-Jul-87	-1.1585
27-Jul-87	1.3426
3-Aug-87	1.9807
10-Aug-87	1.7874
17-Aug-87	0.7940
24-Aug-87	-0.4183
31-Aug-87	-1.5115
8-Sep-87	-0.0672
14-Sep-87	-1.1949
21-Sep-87	0.2266
28-Sep-87	2.1713
5-Oct-87	-2.9665
12-Oct-87	-7.6040
19-Oct-87	-21.2555
26-Oct-87	-1.5956
2-Nov-87	0.9543
9-Nov-87	-1.0471
16-Nov-87	-3.3048
23-Nov-87	1.2719
30-Nov-87	-7.7492
7-Dec-87	3.2581
14-Dec-87	7.7243
21-Dec-87	1.9089
28-Dec-87	-0.8136
4-Jan-88	2.3917
11-Jan-88	0.4716
18-Jan-88	-0.7378
25-Jan-88	2.0813
1-Feb-88	0.3186
8-Feb-88	2.1457
16-Feb-88	1.0698
22-Feb-88	1.7488
29-Feb-88	2.7146
7-Mar-88	0.5608
14-Mar-88	1.6114
21-Mar-88	-2.4136
28-Mar-88	0.5622
4-Apr-88	1.9038
11-Apr-88	-2.0909
18-Apr-88	0.0267
25-Apr-88	1.3808
2-May-88	0.0527
9-May-88	-1.8354
16-May-88	-1.7604
23-May-88	0.1911
31-May-88	2.7436
6-Jun-88	2.4634
13-Jun-88	0.1552
20-Jun-88	1.2075
27-Jun-88	0.7885
5-Jul-88	-0.1014
11-Jul-88	0.1774
18-Jul-88	-1.9428
25-Jul-88	-0.0258
1-Aug-88	0.1032
8-Aug-88	-2.2696
15-Aug-88	-0.4231
22-Aug-88	-0.7981
29-Aug-88	0.5593
6-Sep-88	1.3455
12-Sep-88	0.6009
19-Sep-88	0.2861
26-Sep-88	0.6989
3-Oct-88	-0.5172
10-Oct-88	-0.2856
17-Oct-88	1.0347
24-Oct-88	-1.5038
31-Oct-88	-0.4713
7-Nov-88	-1.9078
14-Nov-88	-1.6726
21-Nov-88	-0.3270
28-Nov-88	2.0263
5-Dec-88	0.3471
12-Dec-88	0.1598
19-Dec-88	0.3984
27-Dec-88	1.0808
3-Jan-89	0.8615
9-Jan-89	0.6219
16-Jan-89	1.1813
23-Jan-89	1.5956
30-Jan-89	2.0886
6-Feb-89	-0.9891
13-Feb-89	1.1858
21-Feb-89	-1.7840
27-Feb-89	0.9950
6-Mar-89	0.4692
13-Mar-89	-0.9157
20-Mar-89	-0.3237
27-Mar-89	1.4364
3-Apr-89	0.9787
10-Apr-89	1.6900
17-Apr-89	1.4498
24-Apr-89	0.8927
1-May-89	0.7224
8-May-89	0.9474
15-May-89	1.6650
22-May-89	0.6988
30-May-89	1.4273
5-Jun-89	0.4639
12-Jun-89	-1.4430
19-Jun-89	0.2680
26-Jun-89	-2.9650
3-Jul-89	1.6179
10-Jul-89	1.4586
17-Jul-89	0.0891
24-Jul-89	0.7760
31-Jul-89	1.0108
7-Aug-89	1.1088
14-Aug-89	-0.1082
21-Aug-89	1.0336
28-Aug-89	0.9594
5-Sep-89	0.0000
11-Sep-89	-0.7882
18-Sep-89	0.1069
25-Sep-89	1.0202
2-Oct-89	2.2374
9-Oct-89	-3.4287
16-Oct-89	0.7249
23-Oct-89	-3.8770
30-Oct-89	0.0442
6-Nov-89	0.7039
13-Nov-89	0.1095
20-Nov-89	-0.0219
27-Nov-89	0.1094
4-Dec-89	-0.1971
11-Dec-89	-2.7557
18-Dec-89	0.1801
26-Dec-89	2.2683
2-Jan-90	0.7448
8-Jan-90	-4.1213
15-Jan-90	0.2725
22-Jan-90	-4.5473
29-Jan-90	0.2134
5-Feb-90	1.5511
12-Feb-90	0.0466
20-Feb-90	-2.2393
26-Feb-90	2.7045
5-Mar-90	1.3367
12-Mar-90	1.2287
19-Mar-90	-1.1143
26-Mar-90	-0.4125
2-Apr-90	-1.0619
9-Apr-90	1.2454
16-Apr-90	-2.4360
